age,tot_deaths,tot_pop,mort_rate_yr_data,mort_rate_yr_mod
56,3935.0,877263.0,0.00448554196404043,0.00448554196404043
57,4257.0,844235.0,0.0050424348670690036,0.0050424348670690036
58,4524.0,817095.0,0.005536687900427735,0.005536687900427735
59,4655.0,798442.0,0.005830104127788869,0.005830104127788869
60,4955.0,774049.0,0.006401403528717174,0.006401403528717174
61,5299.0,745109.0,0.007111711172459331,0.007111711172459331
62,5601.0,717040.0,0.007811279705455762,0.007811279705455762
63,6010.0,702986.0,0.008549245646428236,0.008549245646428236
64,6247.0,697964.0,0.008950318354528313,0.008950318354528313
65,6999.0,681496.0,0.01027005294235036,0.01027005294235036
66,7340.0,671931.0,0.010923740681706902,0.010923740681706902
67,7902.0,678611.0,0.01164437358074066,0.01164437358074066
68,8987.0,691186.0,0.01300228881950734,0.01300228881950734
69,9990.0,714964.0,0.013972731494173133,0.013972731494173133
70,11517.0,759835.0,0.015157238084584154,0.015157238084584154
71,12883.0,695538.0,0.01852235248110096,0.01852235248110096
72,11537.0,593498.0,0.01943898715749674,0.01943898715749674
73,12405.0,579303.0,0.021413664351815888,0.021413664351815888
74,13543.0,554398.0,0.024428298803386737,0.024428298803386737
75,14012.0,502282.0,0.027896679554513203,0.027896679554513203
76,13764.0,446735.0,0.03081021187057204,0.03081021187057204
77,14255.0,426008.0,0.03346181292370096,0.03346181292370096
78,15743.0,424992.0,0.03704305022212183,0.03704305022212183
79,17102.0,410099.0,0.04170212558431013,0.04170212558431013
80,18199.0,386720.0,0.04705988829127017,0.04705988829127017
81,19340.0,359691.0,0.05376837340939862,0.05376837340939862
82,19625.0,333081.0,0.05891960213881908,0.05891960213881908
83,20743.0,303355.0,0.06837863229549537,0.06837863229549537
84,20861.0,274958.0,0.07586976920111435,0.07586976920111435
85,21530.0,253461.0,0.08494403478247146,0.08494403478247146
86,22777.0,232125.0,0.09812385568120624,0.09812385568120624
87,23045.0,206654.0,0.11151489930027969,0.11151489930027969
88,22857.0,178698.0,0.12790853842796227,0.12790853842796227
89,21718.0,150565.0,0.14424335004815197,0.14424335004815197
90,20428.0,127124.0,0.1606934961140304,0.1606934961140304
91,19126.0,106500.0,0.1795868544600939,0.1795868544600939
92,17543.0,87132.0,0.201338199513382,0.201338199513382
93,15434.0,70219.0,0.21979806035403524,0.21979806035403524
94,13463.0,55865.0,0.24099167636265997,0.24099167636265997
95,11372.0,43875.0,0.2591908831908832,0.2591908831908832
96,9537.0,33235.0,0.28695652173913044,0.28695652173913044
97,7956.0,22628.0,0.35159978787343116,0.35159978787343116
98,5806.0,12940.0,0.44868624420401854,0.44868624420401854
99,2948.0,7896.0,0.37335359675785207,1.0
